id;cikkszam;vonalkod;nev;mennyisegiegyseg;nettoegysegar;verzio;partnerid
42109869;81500;5998817312025;Kozel pre.sör d.0,5l;db;227.56;45584203;2011068
12800;17867;3800205875109;Maretti.brusch. 70g par.;db;144.07;3032;2011068
20875;7603;5998817310106;Arany ászok 0,5l dob.;db;125.9833;11690;2011068
46134207;81814;5998817312032;Dreher Gold dob.0,5l;db;219.685;49959415;2011068
73437923;87797;5998817312315;Dreher IPA dob.0,5l;db;235.43;79557274;2011068
70384457;87436;5998817312285;Dreher 24 vör.dob.0,5l;db;235.43;76318052;2011068
10409;7567;5998817310069;Kőbányai sör dob. 0,5l;db;140.945;455;2011068
19093;15680;5412514999889;Poco l.salsa szósz h.260g;db;361.42;9790;2011068
73684873;87795;5901359104454;Dreher 24 m-sze.0,5l;db;180.32;79819498;2011068
16507;4606;90087066;Narancslé 100% 1l;db;274.8;7001;2011068
11873;4642;5997473544047;Popcorn vajas 100g;db;85.83;2028;2011068
9381338;44840;5996253000063;Ch.Pom Bar ori.100g;db;295.76;10172488;2011068
13849;39182;8594404008042;Kozel dark 0,5l dob.;db;125.2;4154;2011068
49100405;82464;5996253000544;Chio hagymás-tejf.140g;db;314.1725;53174458;2011068
20702;13316;5998711388942;Tuc mini 100g original;db;168.64;11466;2011068
14132;15676;5412514333348;Poco l.tort.ch.sós 200g;db;338.14;4454;2011068
50600;7584;5998817310700;Dreher 24 sör 0,5l;db;172.44;43760;2011068
